ID_entrada,ID_habitat,satisfaccion
1.0,H011,3.0
1.0,H005,5.0
2.0,H009,4.0
2.0,H015,3.0
2.0,H018,5.0
2.0,H002,5.0
3.0,NULL,3.0
3.0,H016,NULL
3.0,H018,1.0
3.0,H003,3.0
3.0,NULL,1.0
3.0,H008,2.0
3.0,H002,2.0
4.0,H003,3.0
4.0,H002,2.0
4.0,H001,3.0
4.0,H015,4.0
4.0,H018,5.0
5.0,H013,5.0
5.0,H017,1.0
5.0,H014,1.0
5.0,H002,1.0
5.0,H006,5.0
6.0,H007,4.0
6.0,H009,1.0
6.0,H003,4.0
6.0,H018,2.0
7.0,NULL,3.0
7.0,H017,1.0
8.0,H018,NULL
9.0,H018,4.0
9.0,H014,5.0
9.0,H014,4.0
9.0,H014,2.0
9.0,H018,4.0
10.0,H003,1.0
10.0,H012,NULL
10.0,H016,4.0
10.0,H006,2.0
11.0,H016,4.0
11.0,H002,4.0
11.0,H001,3.0
11.0,H014,4.0
11.0,H014,1.0
11.0,H005,1.0
12.0,H018,5.0
12.0,H018,3.0
13.0,H001,1.0
13.0,H001,5.0
13.0,H002,5.0
13.0,H011,3.0
15.0,H017,2.0
15.0,H011,5.0
15.0,H001,5.0
15.0,H002,1.0
16.0,H002,2.0
17.0,H002,2.0
17.0,H004,2.0
18.0,H004,4.0
19.0,H003,5.0
19.0,H008,5.0
20.0,H004,4.0
20.0,H014,4.0
21.0,H003,2.0
22.0,H015,4.0
22.0,H002,2.0
23.0,H002,1.0
23.0,H005,NULL
23.0,NULL,2.0
24.0,H018,3.0
24.0,H002,5.0
24.0,H013,2.0
24.0,H001,5.0
25.0,H005,3.0
25.0,H014,2.0
26.0,H012,4.0
26.0,H001,1.0
27.0,H005,NULL
27.0,H013,2.0
27.0,H002,1.0
27.0,H002,4.0
28.0,H005,4.0
28.0,H001,5.0
28.0,H011,4.0
28.0,H008,2.0
28.0,H002,5.0
28.0,H014,3.0
29.0,H002,4.0
29.0,H002,1.0
29.0,H001,3.0
30.0,H007,2.0
30.0,H018,3.0
30.0,NULL,NULL
30.0,H018,3.0
31.0,H009,1.0
31.0,H005,5.0
32.0,H009,3.0
33.0,H016,2.0
33.0,H003,2.0
34.0,H009,2.0
35.0,NULL,1.0
35.0,H005,3.0
35.0,H002,1.0
35.0,H018,2.0
35.0,H018,3.0
35.0,H014,2.0
35.0,H006,3.0
36.0,H016,2.0
36.0,H006,4.0
36.0,H014,3.0
37.0,H002,NULL
37.0,H017,3.0
37.0,H018,5.0
37.0,H018,5.0
37.0,H011,2.0
39.0,H003,3.0
39.0,H003,4.0
39.0,H002,2.0
39.0,H018,5.0
39.0,H002,5.0
40.0,H018,3.0
40.0,H008,2.0
41.0,H018,5.0
41.0,H011,2.0
41.0,H006,3.0
42.0,H014,4.0
43.0,H005,1.0
44.0,H003,2.0
44.0,NULL,2.0
45.0,H009,4.0
45.0,H001,1.0
46.0,H010,2.0
46.0,H018,4.0
46.0,H018,4.0
46.0,H015,1.0
46.0,H001,5.0
46.0,H010,NULL
47.0,NULL,4.0
47.0,H002,5.0
48.0,H006,2.0
48.0,H008,3.0
48.0,H005,5.0
49.0,H011,5.0
49.0,H001,2.0
49.0,H012,4.0
50.0,H012,1.0
50.0,H014,4.0
50.0,H011,4.0
50.0,H001,5.0
51.0,H009,1.0
52.0,H001,NULL
52.0,H005,3.0
52.0,H007,4.0
53.0,H017,3.0
53.0,H002,4.0
54.0,H016,4.0
54.0,H012,5.0
54.0,H018,5.0
55.0,H011,1.0
55.0,H018,4.0
56.0,H014,4.0
56.0,H005,NULL
56.0,H018,2.0
57.0,H018,5.0
57.0,NULL,NULL
58.0,H001,4.0
58.0,H008,1.0
58.0,H014,5.0
59.0,H016,NULL
59.0,H002,4.0
60.0,H008,1.0
60.0,H012,NULL
60.0,H009,2.0
60.0,H018,3.0
60.0,H002,3.0
60.0,H014,1.0
61.0,H008,4.0
62.0,H005,3.0
62.0,H018,5.0
62.0,H018,4.0
63.0,H006,5.0
63.0,H014,5.0
64.0,H003,4.0
64.0,H014,NULL
64.0,H011,4.0
65.0,H002,2.0
65.0,H018,5.0
65.0,H016,4.0
65.0,H004,3.0
65.0,H013,3.0
66.0,H018,2.0
66.0,H018,3.0
67.0,H011,3.0
70.0,H013,2.0
70.0,H003,4.0
71.0,H003,3.0
71.0,NULL,5.0
71.0,H018,3.0
71.0,H013,1.0
71.0,H003,5.0
71.0,H011,5.0
71.0,H008,2.0
71.0,H006,3.0
72.0,H009,1.0
72.0,H014,3.0
73.0,H002,NULL
73.0,H008,3.0
73.0,H018,1.0
73.0,H001,1.0
73.0,H012,5.0
73.0,H018,5.0
74.0,H008,4.0
74.0,H003,5.0
75.0,H012,2.0
75.0,NULL,NULL
76.0,H007,4.0
76.0,H014,1.0
77.0,H018,3.0
77.0,NULL,2.0
77.0,H016,3.0
77.0,H018,1.0
78.0,NULL,1.0
78.0,H002,2.0
78.0,NULL,3.0
78.0,H008,3.0
78.0,NULL,1.0
78.0,H005,4.0
79.0,H014,1.0
79.0,NULL,2.0
80.0,H011,3.0
80.0,H014,4.0
80.0,H004,2.0
80.0,H018,1.0
NULL,H012,2.0
NULL,H018,NULL
NULL,H014,5.0
NULL,H006,1.0
NULL,H003,3.0
NULL,H006,5.0
NULL,H002,3.0
NULL,H006,2.0
NULL,H018,2.0
NULL,H008,5.0
NULL,H002,2.0
NULL,H008,3.0
NULL,H014,3.0
NULL,H005,4.0
NULL,H018,3.0
NULL,H006,2.0
NULL,NULL,4.0
