,ID_entrada,ID_habitat,satisfaccion
0,0.0,H004,4.0
1,1.0,H011,4.0
2,2.0,H018,NULL
3,2.0,H007,2.0
4,3.0,H018,1.0
5,4.0,H018,1.0
6,4.0,H002,3.0
7,4.0,H012,5.0
8,5.0,H011,2.0
9,5.0,H005,2.0
10,6.0,H001,3.0
11,6.0,H002,NULL
12,6.0,H003,3.0
13,6.0,H011,3.0
14,7.0,H010,2.0
15,7.0,H018,1.0
16,7.0,H011,4.0
17,7.0,H007,2.0
18,8.0,H005,3.0
19,8.0,H008,2.0
20,8.0,H006,5.0
21,9.0,H005,4.0
22,9.0,H003,2.0
23,9.0,H011,4.0
24,9.0,H007,1.0
25,9.0,H002,2.0
26,10.0,H013,3.0
27,10.0,H018,NULL
28,11.0,H008,2.0
29,11.0,H014,2.0
30,12.0,H011,3.0
31,12.0,H003,1.0
32,13.0,H018,1.0
33,13.0,H004,3.0
34,13.0,H002,2.0
35,14.0,H014,1.0
36,14.0,H002,3.0
37,14.0,H018,3.0
38,15.0,H016,4.0
39,15.0,H014,4.0
40,15.0,H002,5.0
41,16.0,H011,1.0
42,16.0,H014,1.0
43,17.0,H003,NULL
44,19.0,H009,5.0
45,19.0,H018,4.0
46,19.0,H008,NULL
47,19.0,NULL,5.0
48,20.0,H015,2.0
49,21.0,H018,5.0
50,21.0,H002,2.0
51,22.0,H008,2.0
52,22.0,H018,3.0
53,23.0,H018,NULL
54,23.0,H012,1.0
55,23.0,NULL,1.0
56,23.0,H015,3.0
57,24.0,H017,5.0
58,24.0,H012,1.0
59,24.0,H011,4.0
60,25.0,H001,5.0
61,26.0,H009,NULL
62,26.0,H018,2.0
63,26.0,H007,1.0
64,26.0,H006,5.0
65,26.0,H018,NULL
66,27.0,H015,2.0
67,27.0,NULL,1.0
68,28.0,H018,NULL
69,28.0,H003,2.0
70,28.0,H017,4.0
71,29.0,H002,4.0
72,30.0,NULL,2.0
73,31.0,H001,NULL
74,32.0,H018,4.0
75,32.0,H002,2.0
76,32.0,H014,5.0
77,32.0,H003,3.0
78,33.0,H016,1.0
79,33.0,H018,1.0
80,33.0,H018,2.0
81,35.0,H001,4.0
82,35.0,H018,2.0
83,35.0,H012,2.0
84,35.0,H018,1.0
85,36.0,H009,3.0
86,36.0,H002,2.0
87,37.0,H011,1.0
88,38.0,H011,3.0
89,38.0,H017,4.0
90,38.0,H013,4.0
91,42.0,H012,4.0
92,42.0,H018,3.0
93,42.0,H013,3.0
94,43.0,H005,1.0
95,43.0,H006,5.0
96,45.0,NULL,3.0
97,45.0,H007,2.0
98,46.0,H005,1.0
99,46.0,NULL,5.0
100,46.0,H008,2.0
101,46.0,NULL,3.0
102,47.0,H005,5.0
103,48.0,H003,4.0
104,48.0,H010,3.0
105,48.0,H018,5.0
106,49.0,H007,1.0
107,49.0,H008,5.0
108,50.0,H014,3.0
109,50.0,H018,4.0
110,50.0,H002,3.0
111,50.0,H001,3.0
112,51.0,H018,4.0
113,51.0,H002,2.0
114,51.0,H018,5.0
115,53.0,H003,2.0
116,54.0,H017,4.0
117,54.0,H011,2.0
118,55.0,H003,4.0
119,55.0,NULL,5.0
120,56.0,H016,5.0
121,56.0,NULL,1.0
122,57.0,H002,5.0
123,57.0,H008,3.0
124,58.0,H002,4.0
125,58.0,H018,3.0
126,58.0,H004,1.0
127,59.0,H009,NULL
128,60.0,H017,NULL
129,60.0,H005,5.0
130,62.0,H002,1.0
131,62.0,H017,3.0
132,63.0,H012,5.0
133,64.0,H006,1.0
134,64.0,H001,4.0
135,64.0,H004,3.0
136,64.0,H004,4.0
137,65.0,H003,3.0
138,65.0,H018,NULL
139,66.0,H002,5.0
140,67.0,H002,3.0
141,67.0,H003,4.0
142,67.0,H002,1.0
143,68.0,H008,4.0
144,68.0,H018,3.0
145,68.0,H017,1.0
146,68.0,H014,4.0
147,69.0,H002,2.0
148,69.0,H018,2.0
149,70.0,H006,2.0
150,70.0,H018,1.0
151,70.0,H018,1.0
152,71.0,H003,5.0
153,72.0,H012,4.0
154,72.0,H002,3.0
155,72.0,H008,5.0
156,73.0,H018,1.0
157,74.0,NULL,3.0
158,74.0,NULL,4.0
159,75.0,H006,4.0
160,75.0,H017,2.0
161,76.0,H005,2.0
162,76.0,H018,4.0
163,77.0,H018,3.0
164,78.0,H002,1.0
165,78.0,H014,1.0
166,78.0,H001,2.0
167,79.0,H009,4.0
168,79.0,NULL,5.0
169,79.0,H018,2.0
170,80.0,H006,4.0
171,80.0,H002,1.0
172,81.0,H002,NULL
173,82.0,H002,2.0
174,82.0,H003,5.0
175,82.0,H003,5.0
176,84.0,NULL,3.0
177,84.0,H014,1.0
178,85.0,H001,4.0
179,86.0,H012,1.0
180,87.0,H003,5.0
181,87.0,H017,1.0
182,87.0,NULL,2.0
183,88.0,H004,1.0
184,89.0,H004,2.0
185,89.0,H003,3.0
186,89.0,NULL,2.0
187,90.0,H004,4.0
188,90.0,H017,5.0
189,92.0,H014,3.0
190,93.0,H003,5.0
191,93.0,H005,1.0
192,93.0,H003,2.0
193,94.0,H018,3.0
194,94.0,H014,1.0
195,94.0,NULL,3.0
196,95.0,H014,4.0
197,95.0,H014,3.0
198,96.0,H009,2.0
199,96.0,H008,1.0
200,97.0,H017,NULL
201,98.0,H018,NULL
202,98.0,H018,4.0
203,98.0,NULL,1.0
204,99.0,H007,5.0
205,100.0,H002,1.0
206,100.0,H010,NULL
207,100.0,H018,4.0
208,100.0,H009,2.0
209,100.0,H018,3.0
210,102.0,H014,2.0
211,102.0,H018,3.0
212,103.0,H018,3.0
213,103.0,H014,2.0
214,103.0,H001,1.0
215,105.0,H014,4.0
216,105.0,H006,NULL
217,106.0,H018,4.0
218,106.0,H009,4.0
219,108.0,H008,3.0
220,108.0,H003,5.0
221,108.0,H002,4.0
222,108.0,H002,3.0
223,108.0,H005,2.0
224,109.0,H002,3.0
225,109.0,H018,5.0
226,109.0,H002,1.0
227,110.0,H018,4.0
228,110.0,H014,1.0
229,111.0,H005,3.0
230,112.0,H006,4.0
231,112.0,H006,1.0
232,112.0,H002,4.0
233,113.0,H003,4.0
234,114.0,H016,1.0
235,117.0,H007,2.0
236,118.0,H018,1.0
237,119.0,H018,2.0
238,119.0,H005,3.0
239,122.0,H015,4.0
240,122.0,H004,1.0
241,123.0,NULL,2.0
242,123.0,H011,4.0
243,124.0,H014,3.0
244,124.0,H005,4.0
245,125.0,H015,5.0
246,125.0,H008,4.0
247,126.0,H002,5.0
248,127.0,NULL,1.0
249,129.0,H007,1.0
250,129.0,H007,2.0
251,129.0,H008,5.0
252,130.0,H014,2.0
253,130.0,H004,5.0
254,132.0,NULL,5.0
255,132.0,NULL,3.0
256,132.0,H014,3.0
257,132.0,H004,5.0
258,133.0,H018,5.0
259,134.0,H016,5.0
260,134.0,H014,5.0
261,134.0,H003,2.0
262,135.0,H002,3.0
263,135.0,H018,1.0
264,135.0,H002,4.0
265,136.0,H011,4.0
266,137.0,H018,3.0
267,139.0,H003,5.0
268,141.0,H002,5.0
269,141.0,H008,4.0
270,142.0,NULL,4.0
271,142.0,H015,5.0
272,142.0,H003,2.0
273,142.0,H001,5.0
274,142.0,H018,2.0
275,142.0,NULL,NULL
276,142.0,H014,3.0
277,143.0,H016,2.0
278,145.0,H003,2.0
279,149.0,H011,2.0
280,149.0,H018,4.0
281,150.0,H007,5.0
282,150.0,H018,3.0
283,151.0,H007,4.0
284,151.0,H014,4.0
285,152.0,H011,5.0
286,153.0,H017,2.0
287,153.0,H005,3.0
288,153.0,H011,1.0
289,154.0,H008,1.0
290,155.0,H002,4.0
291,156.0,H014,2.0
292,156.0,H018,2.0
293,157.0,NULL,3.0
294,157.0,H018,2.0
295,157.0,H009,5.0
296,158.0,H004,5.0
297,159.0,H003,4.0
298,159.0,H009,1.0
299,160.0,H007,5.0
300,160.0,H018,3.0
301,161.0,H014,4.0
302,162.0,H017,5.0
303,163.0,H013,3.0
304,164.0,H002,NULL
305,164.0,H001,4.0
306,165.0,H001,2.0
307,165.0,H007,4.0
308,165.0,H004,1.0
309,165.0,H006,1.0
310,166.0,H003,5.0
311,167.0,H017,2.0
312,167.0,H014,3.0
313,167.0,H008,5.0
314,169.0,H013,1.0
315,170.0,NULL,2.0
316,171.0,H005,3.0
317,171.0,H001,5.0
318,172.0,H008,5.0
319,172.0,H018,5.0
320,172.0,H002,5.0
321,172.0,H001,NULL
322,172.0,H007,2.0
323,173.0,H017,1.0
324,173.0,H014,5.0
325,173.0,H011,3.0
326,174.0,H014,3.0
327,174.0,H012,3.0
328,174.0,H014,1.0
329,174.0,H013,2.0
330,175.0,H014,NULL
331,175.0,H011,4.0
332,176.0,H003,3.0
333,176.0,H014,4.0
334,177.0,H011,2.0
335,178.0,H014,4.0
336,179.0,H015,1.0
337,180.0,H014,NULL
338,180.0,H018,1.0
339,181.0,H015,1.0
340,181.0,H016,5.0
341,181.0,H009,1.0
342,182.0,H015,1.0
343,183.0,H002,2.0
344,185.0,H016,4.0
345,185.0,H007,5.0
346,185.0,H003,4.0
347,187.0,H011,NULL
348,188.0,H017,3.0
349,188.0,H013,1.0
350,188.0,H005,2.0
351,188.0,H002,4.0
352,189.0,H018,3.0
353,190.0,H002,4.0
354,190.0,H018,NULL
355,190.0,H008,5.0
356,190.0,H009,1.0
357,191.0,H011,4.0
358,191.0,H002,2.0
